,Car_Price,Car_Year,Car_Kms,Car_Model,Car_Fuel,Car_Location,Car_Company
6010,1485000,2016,59758,Toyota Innova Crysta 2.4 G 7 STR ,Diesel,Mumbai,Toyota
6011,365000,2016,22625,Renault Pulse RxL Petrol ,Petrol,Mumbai,Renault
6012,699000,2017,16540,Maruti Suzuki Baleno Zeta 1.2 AT,Petrol,Mumbai,Maruti Suzuki
6013,425000,2016,10046,Honda Brio S MT,Petrol,Mumbai,Honda
6014,595000,2016,41280,Hyundai Xcent S AT 1.2 (O),Petrol,Mumbai,Hyundai
6015,265000,2010,24000,Maruti Suzuki Ritz VXI BS-IV,Petrol,Mumbai,Maruti Suzuki
6016,340000,2013,44380,Hyundai Grand i10 Sportz 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
6017,749000,2017,28771,Honda WR-V VX MT Petrol,Petrol,Mumbai,Honda
6018,925000,2012,74460,BMW 3 Series 320d Prestige,Diesel,Mumbai,BMW
6019,675000,2016,58000,Skoda Rapid Style 1.5 TDI AT,Diesel,Mumbai,Skoda
6020,685000,2016,69380,Honda City V Diesel,Diesel,Mumbai,Honda
6021,445000,2016,39500,Maruti Suzuki Celerio VXi AMT ABS,Petrol,Mumbai,Maruti Suzuki
6022,4550000,2017,42442,Mercedes-Benz GLE 250 d,Diesel,Mumbai,Mercedes-Benz
6023,215000,2016,2814,Tata Nano Twist XT,Petrol,Mumbai,Tata
6024,475000,2015,29390,Volkswagen Polo Highline1.2L (P),Petrol,Mumbai,Volkswagen
6025,1550000,2011,107000,Audi Q7 3.0 TDI quattro Premium Plus,Diesel,Mumbai,Audi
6026,1900000,2021,3000,Mahindra Thar LX 4-STR Hard Top Petrol AT,Petrol,Mumbai,Mahindra
6027,951000,2016,19511,Hyundai Creta 1.6 SX Plus Petrol,Petrol,Thane,Hyundai
6028,475000,2017,33000,Tata Tiago Revotron XZA ,Petrol,Mumbai,Tata
6029,645000,2015,44000,Ford EcoSport Titanium 1.5L Ti-VCT AT,Petrol,Mumbai,Ford
6030,1125000,2019,19000,Maruti Suzuki Ertiga ZDi Plus 1.5 Diesel,Diesel,Mumbai,Maruti Suzuki
6031,510000,2015,60157,Maruti Suzuki Baleno Sigma 1.2,Petrol,Mumbai,Maruti Suzuki
6032,1258000,2011,66700,Mercedes-Benz C-Class 200 CGI Avantgarde,Petrol,Mumbai,Mercedes-Benz
6033,325000,2012,119120,Nissan Sunny XV Diesel,Diesel,Mumbai,Nissan
6034,400000,2015,24123,Hyundai Grand i10 Era 1.2 Kappa VTVT ,Petrol,Thane,Hyundai
6035,145000,2010,78500,Maruti Suzuki Estilo VXi,Petrol,Mumbai,Maruti Suzuki
6036,1990000,2020,7800,Hyundai Creta SX (O) 1.5 Diesel Automatic,Diesel,Mumbai,Hyundai
6037,279000,2012,69549,Maruti Suzuki Eeco 5 STR WITH A/C+HTR ,Petrol,Mumbai,Maruti Suzuki
6038,285000,2011,84000,Hyundai i10 Sportz 1.2 Kappa2,Petrol,Thane,Hyundai
6039,565000,2017,44329,Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
6040,510000,2015,48286,Maruti Suzuki Swift Dzire ZXI,Petrol,Mumbai,Maruti Suzuki
6041,749000,2018,24975,Honda WR-V S MT Petrol,Petrol,Mumbai,Honda
6042,1485000,2016,59758,Toyota Innova Crysta 2.4 G 7 STR ,Diesel,Mumbai,Toyota
6043,365000,2016,22625,Renault Pulse RxL Petrol ,Petrol,Mumbai,Renault
6044,699000,2017,16540,Maruti Suzuki Baleno Zeta 1.2 AT,Petrol,Mumbai,Maruti Suzuki
6045,425000,2016,10046,Honda Brio S MT,Petrol,Mumbai,Honda
6046,595000,2016,41280,Hyundai Xcent S AT 1.2 (O),Petrol,Mumbai,Hyundai
6047,475000,2015,29390,Volkswagen Polo Highline1.2L (P),Petrol,Mumbai,Volkswagen
6048,215000,2016,2814,Tata Nano Twist XT,Petrol,Mumbai,Tata
6049,749000,2017,28771,Honda WR-V VX MT Petrol,Petrol,Mumbai,Honda
6050,265000,2010,24000,Maruti Suzuki Ritz VXI BS-IV,Petrol,Mumbai,Maruti Suzuki
6051,340000,2013,44380,Hyundai Grand i10 Sportz 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
6052,675000,2016,58000,Skoda Rapid Style 1.5 TDI AT,Diesel,Mumbai,Skoda
6053,685000,2016,69380,Honda City V Diesel,Diesel,Mumbai,Honda
6054,445000,2016,39500,Maruti Suzuki Celerio VXi AMT ABS,Petrol,Mumbai,Maruti Suzuki
6055,925000,2012,74460,BMW 3 Series 320d Prestige,Diesel,Mumbai,BMW
6056,4550000,2017,42442,Mercedes-Benz GLE 250 d,Diesel,Mumbai,Mercedes-Benz
6057,1900000,2021,3000,Mahindra Thar LX 4-STR Hard Top Petrol AT,Petrol,Mumbai,Mahindra
6058,1550000,2011,107000,Audi Q7 3.0 TDI quattro Premium Plus,Diesel,Mumbai,Audi
6059,1100000,2019,13000,Maruti Suzuki Vitara Brezza ZDi Plus AGS,Diesel,Mumbai,Maruti Suzuki
6060,1045000,2020,36000,Maruti Suzuki Vitara Brezza ZDi,Diesel,Mumbai,Maruti Suzuki
6061,475000,2017,33000,Tata Tiago Revotron XZA ,Petrol,Mumbai,Tata
6062,951000,2016,19511,Hyundai Creta 1.6 SX Plus Petrol,Petrol,Thane,Hyundai
6063,400000,2015,24123,Hyundai Grand i10 Era 1.2 Kappa VTVT ,Petrol,Thane,Hyundai
6064,1485000,2016,59758,Toyota Innova Crysta 2.4 G 7 STR ,Diesel,Mumbai,Toyota
6065,990000,2019,19900,Maruti Suzuki Ertiga VXI,Petrol,Mumbai,Maruti Suzuki
6066,615000,2017,20342,Maruti Suzuki Dzire VXi AMT,Petrol,Mumbai,Maruti Suzuki
6067,565000,2016,79962,Mahindra Bolero SLE BS III,Diesel,Mumbai,Mahindra
6068,4195000,2017,25000,Mercedes-Benz E-Class E 220d Expression ,Diesel,Mumbai,Mercedes-Benz
6069,7600000,2010,49000,Bentley Continental Flying Spur W12,Petrol,Mumbai,Bentley
6070,640000,2015,32000,Honda City SV Diesel,Diesel,Mumbai,Honda
6071,565000,2017,44329,Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
6072,510000,2015,48286,Maruti Suzuki Swift Dzire ZXI,Petrol,Mumbai,Maruti Suzuki
6073,749000,2018,24975,Honda WR-V S MT Petrol,Petrol,Mumbai,Honda
6074,365000,2016,22625,Renault Pulse RxL Petrol ,Petrol,Mumbai,Renault
6075,699000,2017,16540,Maruti Suzuki Baleno Zeta 1.2 AT,Petrol,Mumbai,Maruti Suzuki
6076,425000,2016,10046,Honda Brio S MT,Petrol,Mumbai,Honda
6077,595000,2016,41280,Hyundai Xcent S AT 1.2 (O),Petrol,Mumbai,Hyundai
6078,475000,2015,29390,Volkswagen Polo Highline1.2L (P),Petrol,Mumbai,Volkswagen
6079,749000,2017,28771,Honda WR-V VX MT Petrol,Petrol,Mumbai,Honda
6080,340000,2013,44380,Hyundai Grand i10 Sportz 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
6081,265000,2010,24000,Maruti Suzuki Ritz VXI BS-IV,Petrol,Mumbai,Maruti Suzuki
6082,925000,2012,74460,BMW 3 Series 320d Prestige,Diesel,Mumbai,BMW
6083,675000,2016,58000,Skoda Rapid Style 1.5 TDI AT,Diesel,Mumbai,Skoda
6084,685000,2016,69380,Honda City V Diesel,Diesel,Mumbai,Honda
6085,445000,2016,39500,Maruti Suzuki Celerio VXi AMT ABS,Petrol,Mumbai,Maruti Suzuki
6086,4550000,2017,42442,Mercedes-Benz GLE 250 d,Diesel,Mumbai,Mercedes-Benz
6087,215000,2016,2814,Tata Nano Twist XT,Petrol,Mumbai,Tata
6088,1550000,2011,107000,Audi Q7 3.0 TDI quattro Premium Plus,Diesel,Mumbai,Audi
6089,1900000,2021,3000,Mahindra Thar LX 4-STR Hard Top Petrol AT,Petrol,Mumbai,Mahindra
6090,645000,2015,44000,Ford EcoSport Titanium 1.5L Ti-VCT AT,Petrol,Mumbai,Ford
6091,1125000,2019,19000,Maruti Suzuki Ertiga ZDi Plus 1.5 Diesel,Diesel,Mumbai,Maruti Suzuki
6092,1295000,2012,80000,BMW 3 Series 320d Luxury Line,Diesel,Mumbai,BMW
6093,951000,2016,19511,Hyundai Creta 1.6 SX Plus Petrol,Petrol,Thane,Hyundai
6094,1485000,2016,59758,Toyota Innova Crysta 2.4 G 7 STR ,Diesel,Mumbai,Toyota
6095,4195000,2017,25000,Mercedes-Benz E-Class E 220d Expression ,Diesel,Mumbai,Mercedes-Benz
6096,365000,2016,22625,Renault Pulse RxL Petrol ,Petrol,Mumbai,Renault
6097,1495000,2017,83597,Toyota Innova Crysta 2.4 G 7 STR ,Diesel,Thane,Toyota
6098,400000,2015,24123,Hyundai Grand i10 Era 1.2 Kappa VTVT ,Petrol,Thane,Hyundai
6099,475000,2015,29390,Volkswagen Polo Highline1.2L (P),Petrol,Mumbai,Volkswagen
6100,500000,2012,84734,Toyota Corolla Altis 1.8 G,Petrol,Mumbai,Toyota
6101,725000,2016,50667,Skoda Rapid 1.5 TDI CR Style Plus AT,Diesel,Thane,Skoda
